Symbol;Name;Symbol2;Currency
USMF;Wisdomtree US Multifactor UCITS ETF;USMF;USD
MTIX;Lyxor EuroMTS Inflation Linked Investment Grade DR UCITS ETF;MTIX;GBP
UPVLH;UBS Irl ETF Plc - Factor MSCI USA Prime Value UCITS ETF;UPVL;GBP
XMGD;Xtrackers Morningstar Global Quality Dividend UCITS ETF;XMGD;USD
TPHU;Amundi Japan Topix UCITS ETF;TPHU;USD
4GLD;Xetra-Gold;OGLD;EUR
MSEX;Lyxor EURO STOXX 50 DR UCITS ETF;MSEX;GBP
3LUS;Boost US S&P 500 3x Leverage daily ETP;3LUS;GBP
HIDR;HSBC MSCI INDONESIA UCITS ETF;HIDR;GBP
0I9M;Direxion Daily Retail Bull 3X Shares;0I9M;USD
HMEU;HSBC MSCI EUROPE UCITS ETF;HMEU;GBP
UC86;UBS ETF - Bloomberg Barclays US Liquid Corporates 1-5 Year UCITS ETF;UC86;USD
EQUA;BNP PARIBAS EASY Equity Quality Europe UCITS ETF;0HEX;EUR
2AMZ;Leverage Shares 2x Amazon ETP;2AMZ;GBP
EGRP;WisdomTree Eurozone Quality Dividend Growth UCITS ETF;EGRP;GBP
UBTS;UBS ETF - Bloomberg Barclays TIPS 1-10 UCITS ETF;UBTS;GBP
XDWC;Xtrackers MSCI World Consumer Discretionary UCITS ETF;XDWC;USD
PRIT;AMUNDI PRIME US TREASURY UCITS ETF DR;PRIT;GBP
VEMA;Vanguard USD Emerging Markets Government Bond UCITS ETF;VEMA;GBP
USD2;ETFS Short GBP Long USD;USD2;GBP
JBGOUA;GAM Precious Metals - Physical Gold;0MKA;USD
HKOD;HSBC MSCI KOREA UCITS ETF;HKOD;USD
DGRW;WisdomTree US Quality Dividend Growth UCITS ETF;DGRW;USD
PRGB;VanEck Vectors Preferred US Equity UCITS ETF;PRGB;GBP
E903;ComStage 1 DivDAX UCITS ETF;0W76;EUR
NFLE;Leverage Shares 2x Netflix ETP;NFLE;EUR
OAUE;UBS ETF CH-Gold USD;OAUE;EUR
EL4S;Deka DB EUROGOV Germany 1-3 UCITS ETF;0W7O;EUR
UB99;UBS ETF - Bloomberg Barclays Euro Area Liquid Corporates UCITS ETF;UB99;GBP
XMJG;Xtrackers MSCI Japan UCITS ETF;XMJG;GBP
C054;ComStage ETF FR EURO STOXX 50 UCITS ETF;0H8Z;EUR
USMVD;OSSIAM US MINIMUM VARIANCE ESG NR UCITS ETF;0HC6;USD
SG38;SG COPPER x3 DAILY LONG;SG38;USD
0L0S;SPDR S&P Aerospace & Defense ETF;0L0S;USD
EUP3;ETFS 3x Long EUR Short GBP;EUP3;GBP
SG55;SG SILVER X3 DAILY SHORT;SG55;USD
CEUR;Amundi Msci Europe UCITS ETF;CEUR;GBP
